 ,alpha=0,0<alpha<=0.25,0.25<alpha<=0.5,0.5<alpha<=0.75,0.75<alpha<=1
0.55,1.0,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0,1.0
0.65,1.0,1.0,1.0,1.0,1.0
0.7,1.0,1.0,1.0,1.0,1.0
0.75,1.0,1.0,0.998,0.984,0.984
0.8,0.996,0.98,0.95,0.89,0.876
0.85,0.9,0.852,0.77,0.594,0.568
0.9,0.666,0.58,0.5,0.302,0.274
0.95,0.302,0.22,0.178,0.056,0.046
1.0,0.012,0.008,0.004,0.0,0.0
